Sample,Type,Date,Ca_ueq_L,DOC_mg_L,Flow_cfs,Flow_cfs_em1_Ca,Flow_cfs_em2_Ca,Flow_cfs_em1_DOC,Flow_cfs_em2_DOC,NDI_em1,NDI_em2
W9 stream,mix,1996-03-19 11:50:00,946.2,1.04,0.27366,0.24271588865350807,0.030944111346491922,0.27125947368421055,0.002400526315789476,-0.05553492856326312,0.8560172499037294
W9 stream,mix,1996-03-26 11:40:00,830.9,2.05,0.53274,0.3903886973618983,0.14235130263810158,0.29207236842105266,0.24066763157894736,0.14406144741466326,-0.2566879079798492
W9 stream,mix,1996-03-26 11:40:00,894.3,1.41,0.53274,0.435539457600811,0.09720054239918899,0.44161342105263157,0.0911265789473684,-0.00692463491785493,0.03225219717898914
W9 stream,mix,1996-04-01 18:30:00,773.5,2.06,0.80191,0.5261032953526412,0.27580670464735874,0.4361264912280701,0.3657835087719299,0.09350864562642999,-0.1402403001832729
W9 stream,mix,1996-04-02 11:05:00,876.3,1.51,0.57686,0.45772914083923905,0.11913085916076097,0.45288570175438597,0.12397429824561405,0.00531886683403702,-0.019923226378767384
W9 stream,mix,1996-04-02 17:10:00,786.0,1.51,0.64162,0.43166431776787156,0.20995568223212835,0.5037279824561403,0.13789201754385966,-0.07704111384176518,0.20717016307618907
W9 stream,mix,1996-04-05 12:45:00,828.4,1.27,0.44547,0.3249490210116095,0.12052097898839038,0.39662460526315785,0.04884539473684211,-0.0993323226371013,0.42319843470126745
W9 stream,mix,1996-04-09 13:30:00,853.3,1.43,0.39839,0.3038671726137982,0.0945228273862018,0.32674969298245615,0.07164030701754386,-0.03628593146969248,0.13771117432737912
W9 stream,mix,1996-04-09 13:30:00,1014.0,1.19,0.39839,0.38944964101840496,0.008940358981595068,0.3686854824561404,0.02970451754385964,0.027388466672144243,-0.537306893672893
W9 stream,mix,1996-04-11 16:23:00,768.5,1.49,0.68169,0.44267507551888485,0.23901492448111508,0.5411661842105263,0.14052381578947368,-0.10010873981716295,0.25950212255387434
W9 stream,mix,1996-04-12 09:45:00,810.9,1.41,0.55752,0.39364168263687616,0.16387831736312372,0.4621547368421053,0.09536526315789473,-0.08005765465452713,0.2642806200544442
W9 stream,mix,1996-04-12 17:59:00,776.0,1.5,0.64813,0.4273799835501581,0.22075001644984182,0.5116815789473684,0.13644842105263158,-0.08977217124402574,0.23600773840626474
W9 stream,mix,1996-04-14 09:10:00,820.9,1.33,0.50887,0.36609442238960876,0.14277557761039122,0.43968153508771934,0.06918846491228073,-0.0913245326014596,0.3471679055669997
W9 stream,mix,1996-04-14 17:00:00,875.8,1.42,0.48725,0.38629937226957695,0.10095062773042308,0.40176754385964913,0.08548245614035087,-0.019627992589826903,0.08296902711105704
W9 stream,mix,1996-04-15 09:03:00,860.8,1.38,0.4395,0.33962969660624537,0.0998703033937546,0.3701052631578947,0.06939473684210525,-0.0429393622681022,0.1800464319695528
W9 stream,mix,1996-04-15 16:18:00,768.5,1.59,0.76807,0.4987684215021343,0.26930157849786573,0.5760525000000001,0.19201750000000006,-0.07190414417115745,0.1675284680389025
W9 stream,mix,1996-04-16 07:00:00,751.0,2.16,0.868,0.5433551364909851,0.32464486350901484,0.43399999999999994,0.43400000000000005,0.11188884409366773,-0.14414535937826958
W9 stream,mix,1996-04-16 13:00:00,696.1,2.49,1.16485,0.6436912910526599,0.5211587089473398,0.41382828947368405,0.7510217105263158,0.2173605158824288,-0.18068427878655619
W9 stream,mix,1996-04-16 13:15:00,812.4,2.11,1.16404,0.8242143282950276,0.3398256717049722,0.6075471929824562,0.5564928070175438,0.15132906709159988,-0.24173007748471045
W9 stream,mix,1996-04-16 16:08:00,643.7,2.24,1.6466,0.7945643602849576,0.8520356397150426,0.7655245614035087,0.8810754385964915,0.018614194663993562,-0.01675587863054955
W9 stream,mix,1996-04-16 18:55:00,608.8,2.63,1.97084,0.8590789422343192,1.1117610577656807,0.5791503508771929,1.391689649122807,0.19463418851073438,-0.11181709733164533
W9 stream,mix,1996-04-16 19:00:00,631.3,2.89,2.02401,0.9431328106764302,1.0808771893235698,0.3639667105263156,1.6600432894736845,0.4430925807525251,-0.21130350356032915
W9 stream,mix,1996-04-17 07:00:00,703.6,2.54,1.25059,0.7036091043748041,0.5469808956251959,0.41686333333333325,0.8337266666666668,0.2559150599259657,-0.2076803074544592
W9 stream,mix,1996-04-17 22:00:00,723.6,2.28,0.92955,0.5478371346826165,0.38171286531738347,0.4158513157894737,0.5136986842105262,0.13695901287235082,-0.1474024083816319
W9 stream,mix,1996-04-18 18:30:00,748.5,1.97,0.99899,0.6220143562931786,0.3769756437068214,0.5827441666666666,0.41624583333333337,0.03259590106906498,-0.04950721931161732
W9 stream,mix,1996-04-19 10:00:00,763.5,2.44,0.85585,0.5500504746503481,0.3057995253496519,0.3228206140350877,0.5330293859649123,0.26032464995200355,-0.2708894001509306
W9 stream,mix,1996-04-19 19:00:00,681.2,2.75,1.61761,0.8616649606113549,0.7559450393886449,0.39021293859649114,1.227397061403509,0.3765958503726167,-0.2377058510614808
W9 stream,mix,1996-04-20 07:00:00,698.6,2.22,1.37979,0.7670774410284309,0.6127125589715692,0.6535847368421052,0.726205263157895,0.07988718637983494,-0.08476450332539667
W9 stream,mix,1996-04-20 13:00:00,648.7,2.35,2.22644,1.089246604221631,1.1371933957783689,0.9276833333333332,1.298756666666667,0.08010356129878957,-0.06632454145062902
W9 stream,mix,1996-04-20 19:05:00,586.4,3.1,2.70028,1.0961811143189746,1.604098885681025,0.23686666666666634,2.4634133333333335,0.6446238911383511,-0.21126290503450237
W9 stream,mix,1996-04-21 01:00:00,546.4,2.75,3.6819,1.2977947765253701,2.38410522347463,0.8881776315789472,2.793722368421053,0.1873844077024029,-0.07910984629684358
W9 stream,mix,1996-04-21 04:00:00,466.6,3.08,6.09425,1.4979937988180623,4.596256201181937,0.588041666666666,5.506208333333333,0.43621124722342736,-0.0900722916712577
W9 stream,mix,1996-04-21 08:44:00,514.0,3.02,3.72541,1.151777220125249,2.5736327798747505,0.45750649122806986,3.2679035087719304,0.4314159920958472,-0.11885070888740859
W9 stream,mix,1996-04-21 11:29:00,469.1,2.86,5.04623,1.2572500843100818,3.7889799156899184,0.973833859649123,4.072396140350877,0.12703073115125293,-0.03605173224644018
W9 stream,mix,1996-04-21 13:01:00,466.6,3.3,5.5898,1.3739977415815245,4.215802258418476,-0.0,5.5898,1.0,-0.1401237481769053
W9 stream,mix,1996-04-22 10:00:00,591.3,2.23,2.81114,1.159598446808155,1.6515415531918447,1.3192630701754384,1.4918769298245615,-0.06441046515642855,0.05079330805934242
W9 stream,mix,1996-04-22 16:00:00,519.0,2.74,4.65757,1.4711019507730128,3.1864680492269866,1.143964561403508,3.513605438596492,0.125097158273511,-0.04882594048618058
W9 stream,mix,1996-04-22 19:00:00,514.0,2.75,4.28083,1.3234952601804284,2.957334739819571,1.0326563596491225,3.248173640350877,0.12343810902642412,-0.04686786040941868
W9 stream,mix,1996-04-22 22:00:00,516.5,2.6,4.26406,1.3325608081588245,2.931499191841175,1.3091412280701749,2.954918771929825,0.008865337486009903,-0.003978579202630534
W9 stream,mix,1996-04-23 10:00:00,536.5,2.37,3.49783,1.1866230806506415,2.3112069193493583,1.4267464473684208,2.071083552631579,-0.09188266877045635,0.054794032539161146
W9 stream,mix,1996-04-23 11:05:00,646.7,2.4,3.61415,1.7584966508047613,1.855653349195238,1.4266381578947367,2.187511842105263,0.10418977934736884,-0.08207888552861263
W9 stream,mix,1996-04-23 16:45:00,489.0,2.94,6.47548,1.7856030270679737,4.689876972932026,1.0224442105263154,5.4530357894736845,0.2717756333741279,-0.07524059749091748
W9 stream,mix,1996-04-23 18:10:00,449.1,3.22,7.25822,1.6143063314067587,5.643913668593241,0.2546743859649111,7.0035456140350885,0.7274724307235687,-0.10750237775498069
W9 stream,mix,1996-04-23 19:00:00,441.6,3.05,6.84566,1.4539148928996466,5.391745107100353,0.7506206140350877,6.0950393859649115,0.3190215247848036,-0.061226384049352316
W9 stream,mix,1996-04-23 20:03:00,436.6,3.37,7.37493,1.5170304963730514,5.857899503626948,-0.22642328947368517,7.601353289473685,1.3508786999844182,-0.1295357039984011
W9 stream,mix,1996-04-24 01:00:00,456.6,3.03,5.29293,1.2302708515856646,4.062659148414335,0.6267943421052633,4.666135657894737,0.32496247925523186,-0.06913629233719823
W9 stream,mix,1996-04-24 11:20:00,506.5,2.49,3.74589,1.1205531989001258,2.625336801099874,1.3307767105263153,2.415113289473685,-0.0857589632541045,0.04170728959688348
W9 stream,mix,1996-04-24 19:00:00,539.0,3.17,3.24822,1.1127994147866627,2.135420585213337,0.18520552631578935,3.0630144736842104,0.7146304756613849,-0.1784371407859025
W9 stream,mix,1996-04-30 11:55:00,678.7,1.62,1.54672,0.8187343626800248,0.7279856373199751,1.1396884210526315,0.4070315789473685,-0.1638839483683315,0.2827746167834415
W9 stream,mix,1996-05-01 01:00:00,531.5,3.06,4.37166,1.4538461980627806,2.9178138019372195,0.46017473684210486,3.911485263157896,0.519153914724582,-0.14550123691307942
W9 stream,mix,1996-05-02 13:00:00,656.2,2.22,1.70148,0.8494779643042146,0.8520020356957854,0.8059642105263156,0.8955157894736845,0.026285275583457675,-0.024900320415146133
W9 stream,mix,1996-05-04 10:29:00,648.7,2.05,1.54179,0.7542936355450265,0.7874963644549734,0.8452796052631579,0.696510394736842,-0.05688140273724558,0.061311021095134415
W9 stream,mix,1996-05-07 11:25:00,696.6,1.56,0.88649,0.4904632284392888,0.3960267715607111,0.6765318421052632,0.20995815789473687,-0.15944250182577863,0.307051552970434
W9 stream,mix,1996-05-08 10:45:00,736.1,1.78,0.8049,0.48782343489780117,0.3170765651021987,0.5365999999999999,0.2683,-0.04761367559603394,0.0833251073070939
W9 stream,mix,1996-05-09 18:14:00,773.5,1.68,0.72678,0.4768132994929513,0.24996670050704864,0.5163963157894738,0.2103836842105263,-0.03985363782978156,0.08598454049475059
